Ticker,Name,RSI,Price,MarketCap (Billion KRW)
005930,삼성전자,28.0,55900,333710.84
009150,삼성전기,28.64,117000,8739.16
028300,HLB,27.09,65300,8562.61
161390,한국타이어앤테크놀로지,25.24,35550,4403.76
011070,LG이노텍,23.29,172300,4077.84
097950,CJ제일제당,28.07,269500,4057.1
028050,삼성E&A,19.81,18420,3610.32
000720,현대건설,27.95,28050,3123.53
068760,셀트리온제약,28.46,61600,2562.58
002790,아모레G,28.39,22300,1838.82
005300,롯데칠성,26.13,117700,1092.12
417200,LS머트리얼즈,26.37,15200,1028.32
004490,세방전지,26.55,70300,984.2
003620,KG모빌리티,23.64,4840,950.6
120110,코오롱인더,28.91,31100,855.84
353200,대덕전자,27.35,15820,781.78
352480,씨앤씨인터내셔널,23.43,68800,688.96
456040,OCI,28.22,73000,653.53
348950,제이알글로벌리츠,28.96,3195,630.62
047920,HLB제약,25.87,19490,619.78
393890,더블유씨피,28.04,15510,522.63
222800,심텍,27.87,15880,505.84
